county_fips,state,state_po,county_name,size,pct_change
1001.0,ALABAMA,AL,AUTAUGA,m,0.2639824797843666
1003.0,ALABAMA,AL,BALDWIN,l,0.3315635496803555
1005.0,ALABAMA,AL,BARBOUR,m,-0.011291315951549974
1007.0,ALABAMA,AL,BIBB,m,0.05976520811099251
1009.0,ALABAMA,AL,BLOUNT,m,0.22448979591836737
1011.0,ALABAMA,AL,BULLOCK,s,-0.023796033994334276
1013.0,ALABAMA,AL,BUTLER,m,0.06414385399892653
1015.0,ALABAMA,AL,CALHOUN,l,0.14907113729043941
1017.0,ALABAMA,AL,CHAMBERS,m,0.10044951590594753
1019.0,ALABAMA,AL,CHEROKEE,m,0.04977375565610864
1021.0,ALABAMA,AL,CHILTON,m,0.055650979045001714
1023.0,ALABAMA,AL,CHOCTAW,m,0.005789642972016784
1025.0,ALABAMA,AL,CLARKE,m,0.0010436597669158942
1027.0,ALABAMA,AL,CLAY,m,0.02425222312045272
1029.0,ALABAMA,AL,CLEBURNE,m,-0.013157894736842146
1031.0,ALABAMA,AL,COFFEE,m,0.2025586353944564
1033.0,ALABAMA,AL,COLBERT,m,0.14100109409190376
1035.0,ALABAMA,AL,CONECUH,m,-0.03701298701298705
1037.0,ALABAMA,AL,COOSA,s,0.007856341189674598
1039.0,ALABAMA,AL,COVINGTON,m,0.1399245915374947
1041.0,ALABAMA,AL,CRENSHAW,m,0.02163461538461542
1043.0,ALABAMA,AL,CULLMAN,m,0.1790416008425486
1045.0,ALABAMA,AL,DALE,m,0.17153863584862905
1047.0,ALABAMA,AL,DALLAS,m,-0.0472109691492677
1049.0,ALABAMA,AL,DEKALB,m,0.18194367752622864
1051.0,ALABAMA,AL,ELMORE,m,0.22788108492242087
1053.0,ALABAMA,AL,ESCAMBIA,m,0.06796959826275795
1055.0,ALABAMA,AL,ETOWAH,m,0.1077379812296495
1057.0,ALABAMA,AL,FAYETTE,m,0.02422907488986792
1059.0,ALABAMA,AL,FRANKLIN,m,-0.050523441055985385
1061.0,ALABAMA,AL,GENEVA,m,0.04590163934426239
1063.0,ALABAMA,AL,GREENE,s,-0.03214552703712936
1065.0,ALABAMA,AL,HALE,m,-0.023455497382198987
1067.0,ALABAMA,AL,HENRY,m,0.13699825479930183
1069.0,ALABAMA,AL,HOUSTON,m,0.211271567891973
1071.0,ALABAMA,AL,JACKSON,m,0.011979308467193084
1073.0,ALABAMA,AL,JEFFERSON,l,0.15818528363708229
1075.0,ALABAMA,AL,LAMAR,m,-0.055984555984555984
1077.0,ALABAMA,AL,LAUDERDALE,m,0.1972467845659165
1079.0,ALABAMA,AL,LAWRENCE,m,-0.017921146953404965
1081.0,ALABAMA,AL,LEE,l,0.31229392369288744
1083.0,ALABAMA,AL,LIMESTONE,m,0.44402196873679767
1085.0,ALABAMA,AL,LOWNDES,m,0.018226500102396015
1087.0,ALABAMA,AL,MACON,m,-0.0605339677504626
1089.0,ALABAMA,AL,MADISON,l,0.389417719907039
1091.0,ALABAMA,AL,MARENGO,m,-0.022617987533392725
1093.0,ALABAMA,AL,MARION,m,0.0216480446927374
1095.0,ALABAMA,AL,MARSHALL,m,0.20866381940207446
1097.0,ALABAMA,AL,MOBILE,l,0.1009614052586374
1099.0,ALABAMA,AL,MONROE,m,0.028393351800553912
1101.0,ALABAMA,AL,MONTGOMERY,l,0.09527123362074819
1103.0,ALABAMA,AL,MORGAN,l,0.17593744446419057
1105.0,ALABAMA,AL,PERRY,s,0.009414225941422494
1107.0,ALABAMA,AL,PICKENS,m,0.012588116817723982
1109.0,ALABAMA,AL,PIKE,m,0.11471518987341778
1111.0,ALABAMA,AL,RANDOLPH,m,-0.03841117415975559
1113.0,ALABAMA,AL,RUSSELL,m,0.17214740578348464
1115.0,ALABAMA,AL,ST. CLAIR,m,0.38557881553050644
1117.0,ALABAMA,AL,SHELBY,l,0.4478826652739696
1119.0,ALABAMA,AL,SUMTER,m,-0.020648967551622377
1121.0,ALABAMA,AL,TALLADEGA,m,0.08390396831944558
1123.0,ALABAMA,AL,TALLAPOOSA,m,0.06160536329045119
1125.0,ALABAMA,AL,TUSCALOOSA,l,0.18899943328505753
1127.0,ALABAMA,AL,WALKER,m,0.07493884812096963
1129.0,ALABAMA,AL,WASHINGTON,m,-0.048862679022746436
1131.0,ALABAMA,AL,WILCOX,m,-0.06706614427287394
1133.0,ALABAMA,AL,WINSTON,m,0.1169724770642202
2001.0,ALASKA,AK,DISTRICT 1,m,0.3513408472600077
2002.0,ALASKA,AK,DISTRICT 2,m,0.3274447949526813
2003.0,ALASKA,AK,DISTRICT 3,m,0.5334407735697018
2004.0,ALASKA,AK,DISTRICT 4,m,0.2842383469485825
2005.0,ALASKA,AK,DISTRICT 5,m,0.31910887982428626
2006.0,ALASKA,AK,DISTRICT 6,m,0.2902208201892744
2007.0,ALASKA,AK,DISTRICT 7,m,0.4668874172185431
2008.0,ALASKA,AK,DISTRICT 8,m,0.603448275862069
2009.0,ALASKA,AK,DISTRICT 9,m,0.50244167118828
2010.0,ALASKA,AK,DISTRICT 10,m,0.5082964601769913
2011.0,ALASKA,AK,DISTRICT 11,m,0.46125116713352
2012.0,ALASKA,AK,DISTRICT 12,m,0.5337136929460582
2013.0,ALASKA,AK,DISTRICT 13,m,0.5831353919239906
2014.0,ALASKA,AK,DISTRICT 14,m,0.40026289845547147
2015.0,ALASKA,AK,DISTRICT 15,m,0.43435448577680535
2016.0,ALASKA,AK,DISTRICT 16,m,0.2975106253794779
2017.0,ALASKA,AK,DISTRICT 17,m,0.2571428571428571
2018.0,ALASKA,AK,DISTRICT 18,m,0.19749296495267332
2019.0,ALASKA,AK,DISTRICT 19,s,0.1682278006744098
2020.0,ALASKA,AK,DISTRICT 20,m,0.175861238255842
2021.0,ALASKA,AK,DISTRICT 21,m,0.28172348484848486
2022.0,ALASKA,AK,DISTRICT 22,m,0.392354740061162
2023.0,ALASKA,AK,DISTRICT 23,m,0.31651693158258465
2024.0,ALASKA,AK,DISTRICT 24,m,0.32364449413079943
2025.0,ALASKA,AK,DISTRICT 25,m,0.3617525162818236
2026.0,ALASKA,AK,DISTRICT 26,m,0.35091879075281573
2027.0,ALASKA,AK,DISTRICT 27,m,0.299007776883883
2028.0,ALASKA,AK,DISTRICT 28,m,0.31901452937460517
2029.0,ALASKA,AK,DISTRICT 29,m,0.4207520228462638
2030.0,ALASKA,AK,DISTRICT 30,m,0.4526431718061674
2031.0,ALASKA,AK,DISTRICT 31,m,0.45326024235429885
2032.0,ALASKA,AK,DISTRICT 32,m,0.2980377637911884
2033.0,ALASKA,AK,DISTRICT 33,m,0.2604550016728002
2034.0,ALASKA,AK,DISTRICT 34,m,0.36563981042654037
2035.0,ALASKA,AK,DISTRICT 35,m,0.33662309949319824
2036.0,ALASKA,AK,DISTRICT 36,m,0.40958039361307086
